sku,name,description,category,image_url,is_active
SK-TEES-001,la Florida Tee,"This vibrant la Florida tee showcases a retro-style script with warm tropical tones that capture the spirit of the Sunshine State. This 100% cotton unisex shirt is soft, breathable, and perfect for sunny days and coastal vibes.",T-Shirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747688944/laFlorida1_v6ctlo.webp,TRUE
SK-TEES-002,Retro Miami Tee,"Inspired by Miami’s iconic Art Deco district, this tee features classic pastel tones that capture the city’s vibrant coastal aesthetic. This 100% cotton unisex shirt is soft, breathable, and perfect for sunny days and coastal vibes.",T-Shirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747606478/Miami_Mockup_Mint_coaiog.png,TRUE
SK-TEES-003,"Messy Bun, Coffee Run Tee","From morning chores to coffee runs, this tee keeps it cute and comfortable no matter what’s on your list. This 100% cotton unisex shirt is soft, breathable, and perfect for sunny days and country vibes.",T-Shirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747606463/Barn_Mockup_Natural_zuyhfj.png,TRUE
SK-TEES-004,Vintage Flower Truck Tee,"Perfect for picking flowers or sipping lemonade on the front porch. This 100% cotton unisex shirt is soft, breathable, and perfect for sunny days and country vibes.",T-Shirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747606485/Vintage_Flower_Truck_Mockup_HCB_nryn7f.png,TRUE
SK-TEES-005,Coastal Pirate Ship Tee,"Set sail in laid-back style with this watercolor pirate ship tee — a nod to coastal adventures and sunny escapades. This 100% cotton unisex shirt is soft, breathable, and perfect for sunny days and coastal vibes.",T-Shirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747606485/Watercolor_Pirate_Ship_Mockup_Natural_bsqk1q.png,TRUE
SK-TEES-006,Retro Florida Stripe Tee,"With its bold retro stripes and vintage lettering, this tee captures old-school Florida charm in a fresh modern fit. This 100% cotton unisex shirt is soft, breathable, and perfect for sunny days and coastal vibes.",T-Shirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747606477/Florida_Retro_Mockup_HCB_p3m8zj.png,TRUE
SK-TEES-007,Vintage Flower Truck Tee,"A nostalgic tan truck brimming with blooms makes this tee the perfect pick for flower lovers and farmers market regulars. This 100% cotton unisex shirt is soft, breathable, and perfect for sunny days and country vibes.",T-Shirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747606484/Vintage_Tan_Truck_Mockup_Mint_la7vd2.png,TRUE
SK-TEES-008,Watercolor Horse Tee,"Featuring a dreamy watercolor horse, this design is perfect for equestrian souls and countryside daydreamers. This 100% cotton unisex shirt is soft, breathable, and perfect for sunny days and country vibes.",T-Shirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747606481/Watercolor_Horse_Mockup_Natural_Dual_kzbxyt.png,TRUE
SK-TEES-009,Sunshine State Tee,"Celebrate Florida’s warmth and charm with a cheerful design that radiates sun-loving energy. This 100% cotton unisex shirt is soft, breathable, and perfect for sunny days and coastal vibes.",T-Shirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747606471/Florida_Sunshine_Mockup_Mint_n2qkw2.png,TRUE
SK-TEES-010,Summer Paradise Tee,"Soft pastels and beachy script make this tee your go-to for beach walks, boat rides, and chill summer hangs. This 100% cotton unisex shirt is soft, breathable, and perfect for sunny days and coastal vibes.",T-Shirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747606479/Summer_Paradise_Mockup_Natural_o3hyl8.png,TRUE
SK-TEES-011,Country Girls Do It Better Tee,"Show off your southern sass with this bold graphic tee made for strong, sun-kissed country girls. This 100% cotton unisex shirt is soft, breathable, and perfect for sunny days and country vibes.",T-Shirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747606471/Country_Girls_Do_It_Better_Mockup_HCB_lvpu8c.png,TRUE
SK-TEES-012,Old Country Barn Tee,"Rustic charm meets relaxed comfort in this tee featuring a classic barn design that captures true country spirit. This 100% cotton unisex shirt is soft, breathable, and perfect for sunny days and country vibes.",T-Shirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747606463/Barn_Mockup_Natural_zuyhfj.png,TRUE
SK-TEES-013,Sweet Tea In My Hand Tee,"For those who love porch sitting and southern sippin’, this tee is as sweet as the tea it’s named for. This 100% cotton unisex shirt is soft, breathable, and perfect for sunny days and country vibes.",T-Shirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747702706/SweetTea_v5i5ob.webp,TRUE
SK-TEES-014,Leopard Florida Tee,"A wild twist on a classic, this leopard-print Florida design adds a fierce vibe to your sunny style. This 100% cotton unisex shirt is soft, breathable, and perfect for sunny days and coastal vibes.",T-Shirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747691092/LeopardFlorida_ne6qvq.webp,TRUE
SK-TEES-015,Beach Paradise Sunset Tee,"Bring the glow of golden hour wherever you go with this vibrant beach sunset design. This 100% cotton unisex shirt is soft, breathable, and perfect for sunny days and coastal vibes.",T-Shirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747606464/Beach_Sunset_Mockup_White_a1kds4.png,TRUE
SK-TEES-016,Highland Cattle Cutie Tee,"This adorable highland cow with floral crown is the perfect blend of rugged charm and soft femininity. This 100% cotton unisex shirt is soft, breathable, and perfect for sunny days and country vibes.",T-Shirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747606473/Flower_Highland_Mockup_Natural_qskb07.png,TRUE
SK-TEES-017,Strawberry Cutie Tee,"Juicy, playful, and totally cute — this strawberry design adds a sweet pop of color to your summer fits. This 100% cotton unisex shirt is soft, breathable, and perfect for sunny days and coastal vibes.",T-Shirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747702704/strawberrytee_e0rsxm.webp,TRUE
SK-TEES-018,Pontoon Life Tee,"If you’d rather be on the water, this tee lets everyone know your heart belongs to the pontoon. This 100% cotton unisex shirt is soft, breathable, and perfect for sunny days and lake vibes.",T-Shirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747702704/pontoontee_qpa77p.webp,TRUE
SK-TEES-019,Summer Vibes Tee,"Capture peak summer energy with this playful script and sunshine-infused palette. This 100% cotton unisex shirt is soft, breathable, and perfect for sunny days and coastal vibes.",T-Shirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747702705/summervibes_shigot.webp,TRUE
SK-TEES-020,Neon Moon Tee,"Late nights and country lights come together in this western-inspired neon moon design. This 100% cotton unisex shirt is soft, breathable, and perfect for sunny days and honky-tonk nights.",T-Shirts,https://res.cloudinary.com/dflhgf4bv/image/upload/v1747691096/neonmoon_dujm52.webp,TRUE
